,ACC_wrist_x,ACC_wrist_y,ACC_wrist_z
0,86.0,-38.0,112.0
1,-40.0,26.0,-5.0
2,90.0,40.0,0.0
3,55.0,38.0,18.0
4,41.0,32.0,39.0
5,48.0,31.0,42.0
6,51.0,27.0,53.0
7,32.0,26.0,42.0
8,41.0,32.0,-20.0
9,34.0,37.0,-89.0
10,21.0,9.0,-83.0
11,32.0,34.0,-128.0
12,54.0,-24.0,-13.0
13,123.0,-1.0,74.0
14,62.0,32.0,17.0
15,69.0,38.0,33.0
16,53.0,35.0,9.0
17,52.0,22.0,15.0
18,51.0,11.0,17.0
19,60.0,12.0,25.0
20,56.0,16.0,22.0
21,38.0,27.0,12.0
22,39.0,30.0,5.0
23,49.0,42.0,3.0
24,43.0,48.0,13.0
25,56.0,46.0,16.0
26,51.0,42.0,3.0
27,50.0,41.0,4.0
28,50.0,38.0,2.0
29,50.0,37.0,1.0
30,48.0,36.0,0.0
31,56.0,36.0,3.0
32,56.0,36.0,3.0
33,53.0,37.0,3.0
34,54.0,36.0,6.0
35,53.0,35.0,6.0
36,53.0,35.0,5.0
37,54.0,35.0,6.0
38,53.0,34.0,5.0
39,52.0,35.0,5.0
40,52.0,35.0,5.0
41,52.0,35.0,5.0
42,52.0,34.0,6.0
43,53.0,35.0,7.0
44,52.0,35.0,5.0
45,53.0,35.0,5.0
46,53.0,36.0,6.0
47,53.0,36.0,5.0
48,52.0,36.0,5.0
49,52.0,35.0,6.0
50,51.0,35.0,5.0
51,52.0,35.0,5.0
52,52.0,35.0,5.0
53,52.0,35.0,5.0
54,53.0,36.0,5.0
55,53.0,36.0,6.0
56,53.0,36.0,6.0
57,53.0,36.0,6.0
58,52.0,36.0,5.0
59,52.0,36.0,5.0
60,52.0,36.0,5.0
61,52.0,35.0,5.0
62,52.0,35.0,5.0
63,52.0,35.0,5.0
64,52.0,36.0,5.0
65,52.0,36.0,5.0
66,52.0,35.0,5.0
67,53.0,35.0,5.0
68,52.0,36.0,5.0
69,53.0,35.0,5.0
70,52.0,35.0,5.0
71,53.0,35.0,5.0
72,53.0,35.0,5.0
73,52.0,35.0,5.0
74,53.0,35.0,5.0
75,53.0,36.0,5.0
76,53.0,35.0,5.0
77,53.0,35.0,5.0
78,52.0,35.0,5.0
79,52.0,36.0,5.0
80,53.0,36.0,5.0
81,52.0,36.0,5.0
82,53.0,36.0,5.0
83,52.0,36.0,4.0
84,52.0,35.0,5.0
85,52.0,35.0,5.0
86,52.0,36.0,5.0
87,52.0,36.0,5.0
88,53.0,36.0,5.0
89,52.0,36.0,5.0
90,52.0,36.0,5.0
91,52.0,36.0,5.0
92,52.0,36.0,5.0
