,TEMP_wrist
0,30.03
1,30.03
2,30.03
3,30.03
4,30.03
5,30.03
6,30.03
7,30.03
8,30.03
9,30.03
10,30.05
11,30.05
12,30.05
13,30.05
14,30.03
15,30.03
16,30.03
17,30.03
18,30.07
19,30.07
20,30.07
21,30.07
22,30.05
23,30.05
24,30.05
25,30.05
26,30.03
27,30.03
28,30.03
29,30.03
30,30.05
31,30.05
32,30.05
33,30.05
34,30.05
35,30.05
36,30.05
37,30.05
38,30.05
39,30.05
40,30.05
41,30.05
42,30.03
43,30.03
44,30.03
45,30.03
46,30.05
47,30.05
48,30.05
49,30.05
50,30.05
51,30.05
52,30.05
53,30.05
54,30.07
55,30.07
56,30.07
57,30.07
58,30.05
59,30.05
60,30.05
61,30.05
62,30.05
63,30.05
64,30.05
65,30.05
66,30.05
67,30.05
68,30.05
69,30.05
70,30.05
71,30.05
72,30.05
73,30.05
74,30.07
75,30.07
76,30.07
77,30.07
78,30.05
79,30.05
80,30.05
81,30.05
82,30.07
83,30.07
84,30.07
85,30.07
86,30.05
87,30.05
88,30.05
89,30.05
90,30.05
91,30.05
92,30.05
93,30.05
94,30.07
95,30.07
96,30.07
97,30.07
98,30.05
99,30.05
100,30.05
101,30.05
102,30.05
103,30.05
104,30.05
105,30.05
106,30.07
107,30.07
108,30.07
109,30.07
110,30.05
111,30.05
112,30.05
113,30.05
114,30.05
115,30.05
116,30.05
117,30.05
118,30.07
119,30.07
120,30.07
121,30.07
122,30.07
123,30.07
124,30.07
125,30.07
126,30.07
127,30.07
128,30.07
129,30.07
130,30.07
131,30.07
132,30.07
133,30.07
134,30.07
135,30.07
136,30.07
137,30.07
138,30.05
139,30.05
140,30.05
141,30.05
142,30.07
143,30.07
144,30.07
145,30.07
146,30.07
147,30.07
148,30.07
149,30.07
150,30.07
151,30.07
152,30.07
153,30.07
154,30.07
155,30.07
156,30.07
157,30.07
158,30.07
159,30.07
160,30.07
161,30.07
162,30.07
163,30.07
164,30.07
165,30.07
166,30.05
167,30.05
168,30.05
169,30.05
170,30.05
171,30.05
172,30.05
173,30.05
174,30.07
175,30.07
176,30.07
177,30.07
178,30.07
179,30.07
180,30.07
181,30.07
182,30.07
183,30.07
184,30.07
185,30.07
186,30.05
187,30.05
188,30.05
189,30.05
190,30.07
191,30.07
192,30.07
193,30.07
194,30.05
195,30.05
196,30.05
197,30.05
198,30.07
199,30.07
200,30.07
201,30.07
202,30.07
203,30.07
204,30.07
205,30.07
206,30.07
207,30.07
208,30.07
209,30.07
210,30.07
211,30.07
212,30.07
213,30.07
214,30.07
215,30.07
216,30.07
217,30.07
218,30.07
219,30.07
220,30.07
221,30.07
222,30.05
223,30.05
224,30.05
225,30.05
226,30.05
227,30.05
228,30.05
229,30.05
230,30.07
231,30.07
232,30.07
233,30.07
234,30.07
235,30.07
236,30.07
237,30.07
238,30.05
239,30.05
240,30.05
241,30.05
242,30.07
243,30.07
244,30.07
245,30.07
246,30.05
247,30.05
248,30.05
249,30.05
250,30.07
251,30.07
252,30.07
253,30.07
254,30.05
255,30.05
256,30.05
257,30.05
258,30.07
259,30.07
260,30.07
261,30.07
262,30.07
263,30.07
264,30.07
265,30.07
266,30.07
267,30.07
268,30.07
269,30.07
270,30.07
271,30.07
272,30.07
273,30.07
274,30.07
275,30.07
276,30.07
277,30.07
278,30.07
279,30.07
280,30.07
281,30.07
282,30.07
283,30.07
284,30.07
285,30.07
286,30.09
287,30.09
288,30.09
289,30.09
290,30.07
291,30.07
292,30.07
293,30.07
294,30.05
295,30.05
296,30.05
297,30.05
298,30.05
299,30.05
300,30.05
301,30.05
302,30.07
303,30.07
304,30.07
305,30.07
306,30.07
307,30.07
308,30.07
309,30.07
310,30.09
311,30.09
312,30.09
313,30.09
314,30.05
315,30.05
316,30.05
317,30.05
318,30.07
319,30.07
320,30.07
321,30.07
322,30.07
323,30.07
324,30.07
325,30.07
326,30.07
327,30.07
328,30.07
329,30.07
330,30.05
331,30.05
332,30.05
333,30.05
334,30.05
335,30.05
336,30.05
337,30.05
338,30.05
339,30.05
340,30.05
341,30.05
342,30.05
343,30.05
344,30.05
345,30.05
346,30.07
347,30.07
348,30.07
349,30.07
350,30.05
351,30.05
352,30.05
353,30.05
354,30.05
355,30.05
356,30.05
357,30.05
358,30.05
359,30.05
360,30.05
361,30.05
362,30.07
363,30.07
364,30.07
365,30.07
366,30.03
367,30.03
368,30.03
369,30.03
370,30.07
371,30.07
372,30.07
373,30.07
374,30.03
375,30.03
376,30.03
377,30.03
378,30.05
379,30.05
380,30.05
381,30.05
382,30.05
383,30.05
384,30.05
385,30.05
386,30.07
387,30.07
388,30.07
389,30.07
390,30.05
391,30.05
392,30.05
393,30.05
394,30.07
395,30.07
396,30.07
397,30.07
398,30.03
399,30.03
400,30.03
401,30.03
402,30.05
403,30.05
404,30.05
405,30.05
406,30.05
407,30.05
408,30.05
409,30.05
410,30.03
411,30.03
412,30.03
413,30.03
414,30.03
415,30.03
416,30.03
417,30.03
418,30.05
419,30.05
420,30.05
421,30.05
422,30.05
423,30.05
424,30.05
425,30.05
426,30.07
427,30.07
428,30.07
429,30.07
430,30.01
431,30.01
432,30.01
433,30.01
434,30.05
435,30.05
436,30.05
437,30.05
438,30.05
439,30.05
440,30.05
441,30.05
442,30.05
443,30.05
444,30.05
445,30.05
446,30.03
447,30.03
448,30.03
449,30.03
450,30.07
451,30.07
452,30.07
453,30.07
454,30.05
455,30.05
456,30.05
457,30.05
458,30.03
459,30.03
460,30.03
461,30.03
462,30.01
463,30.01
464,30.01
465,30.01
466,30.01
467,30.01
468,30.01
469,30.01
470,30.01
471,30.01
472,30.01
473,30.01
474,30.03
475,30.03
476,30.03
477,30.03
478,30.03
479,30.03
480,30.03
481,30.03
482,30.03
483,30.03
484,30.03
485,30.03
486,30.01
487,30.01
488,30.01
489,30.01
490,30.05
491,30.05
492,30.05
493,30.05
494,30.01
495,30.01
496,30.01
497,30.01
498,30.03
499,30.03
500,30.03
501,30.03
502,30.03
503,30.03
504,30.03
505,30.03
506,30.03
507,30.03
508,30.03
509,30.03
510,30.01
511,30.01
512,30.01
513,30.01
514,30.03
515,30.03
516,30.03
517,30.03
518,29.99
519,29.99
520,29.99
521,29.99
522,30.01
523,30.01
524,30.01
525,30.01
526,30.01
527,30.01
528,30.01
529,30.01
530,29.99
531,29.99
532,29.99
533,29.99
534,30.01
535,30.01
536,30.01
537,30.01
538,30.03
539,30.03
540,30.03
541,30.03
542,30.03
543,30.03
544,30.03
545,30.03
546,30.05
547,30.05
548,30.05
549,30.05
550,30.01
551,30.01
552,30.01
553,30.01
554,29.99
555,29.99
556,29.99
557,29.99
558,30.03
559,30.03
560,30.03
561,30.03
562,30.03
563,30.03
564,30.03
565,30.03
566,30.01
567,30.01
568,30.01
569,30.01
570,30.01
571,30.01
572,30.01
573,30.01
574,30.03
575,30.03
576,30.03
577,30.03
578,30.05
579,30.05
580,30.05
581,30.05
582,30.05
583,30.05
584,30.05
585,30.05
586,30.03
587,30.03
588,30.03
589,30.03
590,30.01
591,30.01
592,30.01
593,30.01
594,30.03
595,30.03
596,30.03
597,30.03
598,30.03
599,30.03
600,30.03
601,30.03
602,30.01
603,30.01
604,30.01
605,30.01
606,30.01
607,30.01
608,30.01
609,30.01
610,30.05
611,30.05
612,30.05
613,30.05
614,30.03
615,30.03
616,30.03
617,30.03
618,30.01
619,30.01
620,30.01
621,30.01
622,30.01
623,30.01
624,30.01
625,30.01
626,30.01
627,30.01
628,30.01
629,30.01
630,30.01
631,30.01
632,30.01
633,30.01
