,EDA_wrist
0,0.329014
1,0.326456
2,0.336689
3,0.332852
4,0.327735
5,0.326456
6,0.326456
7,0.330293
8,0.340527
9,0.358435
10,0.38146
11,0.415998
12,0.437744
13,0.460769
14,0.479957
15,0.488911
16,0.492749
17,0.49019
18,0.488911
19,0.483794
20,0.477399
21,0.469723
22,0.467165
23,0.462048
24,0.454373
25,0.451815
26,0.447978
27,0.445419
28,0.445419
29,0.44414
30,0.44414
31,0.445419
32,0.442861
33,0.442861
34,0.442861
35,0.442861
36,0.440302
37,0.442861
38,0.440302
39,0.442861
40,0.44414
41,0.442861
42,0.440302
43,0.437744
44,0.440302
45,0.436465
46,0.439023
47,0.440302
48,0.439023
49,0.439023
50,0.439023
51,0.441582
52,0.436465
53,0.439023
54,0.435186
55,0.439023
56,0.439023
57,0.439023
58,0.439023
59,0.437744
60,0.439023
61,0.437744
62,0.439023
63,0.440302
64,0.436465
65,0.437744
66,0.437744
67,0.437744
68,0.437744
69,0.436465
70,0.436465
71,0.435186
72,0.436465
73,0.437744
74,0.436465
75,0.436465
76,0.427511
77,0.436465
78,0.432627
79,0.436465
80,0.433907
81,0.433907
82,0.433907
83,0.433907
84,0.435186
85,0.435186
86,0.435186
87,0.430069
88,0.433907
89,0.42879
90,0.433907
91,0.433907
92,0.433907
93,0.433907
94,0.432627
95,0.437744
96,0.432627
97,0.435186
98,0.430069
99,0.432627
100,0.432627
101,0.431348
102,0.432627
103,0.431348
104,0.431348
105,0.431348
106,0.431348
107,0.431348
108,0.42879
109,0.430069
110,0.432627
111,0.432627
112,0.433907
113,0.433907
114,0.436465
115,0.435186
116,0.435186
117,0.435186
118,0.430069
119,0.433907
120,0.431348
121,0.435186
122,0.435186
123,0.441582
124,0.440302
125,0.441582
126,0.441582
127,0.441582
128,0.442861
129,0.439023
130,0.436465
131,0.436465
132,0.435186
133,0.432627
134,0.433907
135,0.435186
136,0.433907
137,0.437744
138,0.440302
139,0.445419
140,0.447978
141,0.44414
142,0.441582
143,0.44414
144,0.441582
145,0.442861
146,0.442861
147,0.44414
148,0.435186
149,0.440302
150,0.441582
151,0.440302
152,0.441582
153,0.437744
154,0.441582
155,0.439023
156,0.432627
157,0.437744
158,0.436465
159,0.440302
160,0.436465
161,0.439023
162,0.437744
163,0.437744
164,0.436465
165,0.435186
166,0.435186
167,0.433907
168,0.433907
169,0.431348
170,0.430069
171,0.517053
172,0.554149
173,0.486353
174,0.453094
175,0.449257
176,0.453094
177,0.449257
178,0.447978
179,0.446698
180,0.445419
181,0.445419
182,0.44414
183,0.445419
184,0.442861
185,0.441582
186,0.435186
187,0.442861
188,0.447978
189,0.463328
190,0.453094
191,0.449257
192,0.446698
193,0.445419
194,0.446698
195,0.442861
196,0.442861
197,0.441582
198,0.440302
199,0.442861
200,0.445419
201,0.446698
202,0.442861
203,0.441582
204,0.44414
205,0.442861
206,0.441582
207,0.440302
208,0.439023
209,0.442861
210,0.440302
211,0.441582
212,0.439023
213,0.442861
214,0.442861
215,0.447978
216,0.447978
217,0.447978
218,0.449257
219,0.447978
220,0.449257
221,0.447978
222,0.449257
223,0.446698
224,0.445419
225,0.446698
226,0.445419
227,0.446698
228,0.442861
229,0.44414
230,0.440302
231,0.442861
232,0.441582
233,0.440302
234,0.441582
235,0.440302
236,0.435186
237,0.440302
238,0.439023
239,0.440302
240,0.437744
241,0.435186
242,0.439023
243,0.437744
244,0.439023
245,0.439023
246,0.437744
247,0.439023
248,0.449257
249,0.439023
250,0.442861
251,0.442861
252,0.427511
253,0.433907
254,0.440302
255,0.436465
256,0.431348
257,0.432627
258,0.440302
259,0.44414
260,0.44414
261,0.445419
262,0.446698
263,0.442861
264,0.44414
265,0.441582
266,0.441582
267,0.442861
268,0.436465
269,0.44414
270,0.44414
271,0.441582
272,0.440302
273,0.432627
274,0.430069
275,0.431348
276,0.432627
277,0.430069
278,0.432627
279,0.441582
280,0.441582
281,0.442861
282,0.44414
283,0.441582
284,0.440302
285,0.437744
286,0.442861
287,0.440302
288,0.441582
289,0.439023
290,0.441582
291,0.447978
292,0.44414
293,0.44414
294,0.437744
295,0.433907
296,0.42879
297,0.431348
298,0.435186
299,0.432627
300,0.42879
301,0.419836
302,0.422394
303,0.422394
304,0.422394
305,0.424952
306,0.422394
307,0.421115
308,0.414719
309,0.417277
310,0.417277
311,0.415998
312,0.415998
313,0.41344
314,0.41344
315,0.41344
316,0.407044
317,0.410881
318,0.407044
319,0.412161
320,0.404486
321,0.408323
322,0.407044
323,0.407044
324,0.410881
325,0.412161
326,0.417277
327,0.414719
328,0.410881
329,0.410881
330,0.417277
331,0.417277
332,0.415998
333,0.417277
334,0.414719
335,0.410881
336,0.409602
337,0.412161
338,0.417277
339,0.422394
340,0.417277
341,0.417277
342,0.41344
343,0.415998
344,0.415998
345,0.414719
346,0.414719
347,0.418557
348,0.417277
349,0.415998
350,0.415998
351,0.404486
352,0.407044
353,0.400648
354,0.404486
355,0.407044
356,0.404486
357,0.405765
358,0.404486
359,0.410881
360,0.405765
361,0.404486
362,0.400648
363,0.404486
364,0.405765
365,0.409602
366,0.41344
367,0.410881
368,0.41344
369,0.412161
370,0.410881
371,0.414719
372,0.410881
373,0.412161
374,0.412161
375,0.410881
376,0.410881
377,0.410881
378,0.409602
379,0.408323
380,0.408323
381,0.405765
382,0.401927
383,0.403206
384,0.404486
385,0.405765
386,0.403206
387,0.407044
388,0.404486
389,0.404486
390,0.404486
391,0.401927
392,0.403206
393,0.400648
394,0.401927
395,0.399369
396,0.392973
397,0.39809
398,0.39809
399,0.399369
400,0.39809
401,0.39809
402,0.396811
403,0.39809
404,0.396811
405,0.394252
406,0.394252
407,0.39809
408,0.400648
409,0.399369
410,0.39809
411,0.400648
412,0.39809
413,0.399369
414,0.400648
415,0.399369
416,0.399369
417,0.39809
418,0.400648
419,0.396811
420,0.399369
421,0.395531
422,0.396811
423,0.392973
424,0.391694
425,0.394252
426,0.392973
427,0.390415
428,0.389135
429,0.389135
430,0.390415
431,0.391694
432,0.391694
433,0.389135
434,0.390415
435,0.389135
436,0.389135
437,0.389135
438,0.387856
439,0.385298
440,0.386577
441,0.386577
442,0.387856
443,0.387856
444,0.387856
445,0.386577
446,0.386577
447,0.389135
448,0.386577
449,0.384019
450,0.378902
451,0.384019
452,0.38274
453,0.389135
454,0.391694
455,0.390415
456,0.384019
457,0.376344
458,0.396811
459,0.389135
460,0.392973
461,0.391694
462,0.392973
463,0.394252
464,0.394252
465,0.395531
466,0.387856
467,0.395531
468,0.394252
469,0.395531
470,0.395531
471,0.395531
472,0.395531
473,0.39809
474,0.401927
475,0.399369
476,0.385298
477,0.384019
478,0.384019
479,0.385298
480,0.385298
